TCId,Title,Item,SellInStart,QualityStart,Days,ExpectedSellInEnd,ExpectedQualityEnd,Requirements,Notes
TC1,Normal item before sell date loses 1 quality per day,Normal item,10,20,1,9,19,REQ3 REQ4,
TC2,Normal item after sell date loses 2 quality per day,Normal item,0,20,1,-1,18,REQ3 REQ4,
TC3,Quality never goes below zero.,Normal item,5,0,1,4,0,REQ1,
TC4,Aged Brie increases by 1 and stops at 50,Aged Brie,5,49,1,4,50,REQ2 REQ5,
TC5,Aged Brie increases over several days and caps at 50,Aged Brie,3,48,3,0,50,REQ2 REQ5,
TC6,Backstage more than 10 days increases by 1,Backstage passes,15,20,1,14,21,REQ6,
TC7,Backstage at 10 days increases by 2,Backstage passes,10,20,1,9,22,REQ6,
TC8,Backstage at 5 days increases by 3,Backstage passes,5,20,1,4,23,REQ6,
TC9,Backstage on or after concert quality becomes 0,Backstage passes,0,40,1,-1,0,REQ6,
TC10,Sulfuras does not change sellin or quality,Sulfura,5,80,1,5,80,REQ7,
TC11,Sellin decreases by 1 for normal item,Normal item,3,7,1,2,6,REQ3 REQ4,
TC12,Backstage increase is capped at 50,Backstage passes,6,49,1,5,50,REQ2 REQ6,
TC13,Backstage drop to 0 keeps floor at 0,Backstage passes,1,2,2,-1,0,REQ1 REQ6,
TC14,Normal item long after sell date loses 2 per day over 3 days and never below 0,Normal item,0,5,3,-3,0,REQ1 REQ4,
TC15,Conjured before sell date loses 2 quality per day,Conjured,5,10,1,4,8,REQ3 REQ8,
TC16,Conjured after sell date loses 4 quality per day,Conjured,0,10,1,-1,6,REQ3 REQ8,